Date,Open,High,Low,Last,Close,Total,Trade,Quantity,Value,Turnover,
2019-05-22,1792,1809,1751,1771,1767,,7197,103224533,182438658770,,#REF!
2019-05-22,1792,1809,1751,1771,1767,,7197,103224533,182438658770,,
2019-05-21,1768,1810,1768,1773,1788,,8939,130861242,234000117420,,
2019-05-21,1768,1810,1768,1773,1788,,8939,130861242,234000117420,,
2019-05-20,1830,1830,1753,1774,1783,,9224,154781329,275929397233,,
2019-05-20,1830,1830,1753,1774,1783,,9224,154781329,275929397233,,
2019-05-19,1759,1841,1734,1820,1806,,16893,302476977,546221892688,,
2019-05-19,1759,1841,1734,1820,1806,,16893,302476977,546221892688,,
2019-05-18,1721,1790,1716,1750,1763,,12502,205286855,361821976728,,
2019-05-18,1721,1790,1716,1750,1763,,12502,205286855,361821976728,,
2019-05-15,1762,1775,1681,1719,1730,,11339,186002489,321748646265,,
2019-05-15,1762,1775,1681,1719,1730,,11339,186002489,321748646265,,
2019-05-14,1751,1789,1725,1733,1749,,13662,228450848,399513570152,,
2019-05-14,1751,1789,1725,1733,1749,,13662,228450848,399513570152,,
2019-05-13,1710,1770,1680,1743,1728,,10269,184637901,319089041493,,
2019-05-13,1710,1770,1680,1743,1728,,10269,184637901,319089041493,,
2019-05-12,1723,1748,1693,1695,1698,,15875,369716505,627820453440,,
2019-05-12,1723,1748,1693,1695,1698,,15875,369716505,627820453440,,
2019-05-11,1785,1833,1743,1743,1782,,17302,337783280,602038455529,,
2019-05-11,1785,1833,1743,1743,1782,,17302,337783280,602038455529,,
2019-05-08,1800,1885,1780,1870,1834,,18764,395167702,724598400600,,
2019-05-08,1800,1885,1780,1870,1834,,18764,395167702,724598400600,,
2019-05-07,1895,1920,1789,1789,1801,,22048,535396810,964221645264,,
2019-05-07,1895,1920,1789,1789,1801,,22048,535396810,964221645264,,
2019-05-06,1890,1913,1780,1879,1883,,41158,1013887239,1908987242777,,
2019-05-06,1890,1913,1780,1879,1883,,41158,1013887239,1908987242777,,
2019-05-05,1808,1834,1750,1834,1822,,25234,617411040,1125074123299,,
2019-05-05,1808,1834,1750,1834,1822,,25234,617411040,1125074123299,,
2019-05-04,1659,1760,1659,1760,1747,,19735,452145051,789808285625,,
2019-05-04,1659,1760,1659,1760,1747,,19735,452145051,789808285625,,
2019-05-01,1670,1699,1649,1681,1677,,12442,203414932,341185220521,,
2019-05-01,1670,1699,1649,1681,1677,,12442,203414932,341185220521,,
2019-04-30,1770,1770,1646,1673,1706,,14932,221924251,378595375824,,
2019-04-30,1770,1770,1646,1673,1706,,14932,221924251,378595375824,,
2019-04-29,1689,1770,1689,1741,1715,,11216,179365420,307625991117,,
2019-04-29,1689,1770,1689,1741,1715,,11216,179365420,307625991117,,
2019-04-28,1627,1675,1627,1671,1655,,12221,191717384,317359345297,,
2019-04-28,1627,1675,1627,1671,1655,,12221,191717384,317359345297,,
2019-04-27,1616,1644,1601,1609,1616,,9797,158753277,256482388415,,
2019-04-27,1616,1644,1601,1609,1616,,9797,158753277,256482388415,,
2019-04-24,1600,1636,1581,1600,1599,,10759,158783826,253875289316,,
2019-04-24,1600,1636,1581,1600,1599,,10759,158783826,253875289316,,
2019-04-23,1606,1635,1582,1586,1604,,9444,132619187,212726079012,,
2019-04-23,1606,1635,1582,1586,1604,,9444,132619187,212726079012,,
2019-04-22,1710,1710,1601,1612,1643,,12920,177492583,291551340038,,
2019-04-22,1710,1710,1601,1612,1643,,12920,177492583,291551340038,,
2019-04-20,1625,1685,1625,1680,1660,,11054,180823366,300113473863,,
2019-04-20,1625,1685,1625,1680,1660,,11054,180823366,300113473863,,
2019-04-17,1610,1645,1586,1611,1610,,11937,188612009,303666966773,,
2019-04-17,1610,1645,1586,1611,1610,,11937,188612009,303666966773,,
2019-04-16,1716,1722,1641,1641,1669,,12922,199431015,332820928223,,
2019-04-16,1716,1722,1641,1641,1669,,12922,199431015,332820928223,,
2019-04-15,1705,1759,1705,1710,1727,,10820,184042441,317859307749,,
2019-04-15,1705,1759,1705,1710,1727,,10820,184042441,317859307749,,
